timestamp,open,high,low,close,volume
2022-11-02,156.7800,160.2000,154.3200,154.5600,2247264
2022-11-01,161.9500,162.5500,156.7100,158.1900,2199530
2022-10-31,159.0200,162.2341,158.6200,160.2800,1910978
2022-10-28,157.5400,160.5300,155.7700,160.3700,2568592
2022-10-27,158.9400,160.3000,156.6300,156.9100,1646805
2022-10-26,156.3800,159.1650,155.5800,157.9600,3735467
2022-10-25,155.8900,157.3300,154.8500,155.8000,3077715
2022-10-24,152.1900,156.4850,151.4300,154.7600,2857599
2022-10-21,150.1900,153.8600,149.6400,153.2300,6074852
2022-10-20,152.9500,155.4000,149.8650,150.1400,3652115
2022-10-19,155.7200,156.7000,151.5600,152.9600,3433675
2022-10-18,160.6900,161.4200,155.0600,156.3000,3136227
2022-10-17,158.2800,159.8700,155.3969,156.9800,3187014
2022-10-14,156.8800,158.4100,154.9100,156.9600,2270567
2022-10-13,150.4400,158.0400,148.9300,156.2500,2993360
2022-10-12,152.0700,155.0400,151.6506,152.8900,2468326
2022-10-11,151.5300,154.5900,151.0800,152.0800,6045750
2022-10-10,155.8900,156.4500,152.1500,153.2100,5310630
2022-10-07,152.5100,154.5950,148.9600,154.4100,7783543
2022-10-06,156.4000,158.0000,154.8150,155.1900,4254563
2022-10-05,155.2400,158.9400,154.5400,156.8700,7169319
2022-10-04,155.1900,159.6100,154.4500,159.1200,10089366
2022-10-03,150.1200,152.6600,147.9800,151.4600,2701230
2022-09-30,150.9500,153.3700,148.3400,148.4700,3642581
2022-09-29,147.9000,152.6100,147.1800,152.3100,5199166
2022-09-28,145.7200,151.1100,144.7397,149.9900,4959216
2022-09-27,143.5000,145.5900,141.9193,144.9500,4466424
2022-09-26,148.4700,150.8400,142.4020,142.9000,5698230
2022-09-23,149.7700,152.9397,146.6500,149.3300,7195459
2022-09-22,152.6200,160.6600,150.3400,154.5400,10183165
2022-09-21,157.1700,159.1399,153.2500,153.2500,5491647
2022-09-20,161.1700,161.1900,157.0500,157.4000,5372145
2022-09-19,160.0000,165.3500,159.5000,162.9000,9425023
2022-09-16,159.3100,161.8400,155.0000,161.0200,34201871
2022-09-15,204.6000,206.1600,203.2200,204.8700,3080216
2022-09-14,204.7100,205.4599,200.9100,205.0100,1510739
2022-09-13,208.8900,210.2700,204.1000,205.3400,1589753
2022-09-12,210.2600,215.8300,210.2600,213.8400,2278883
2022-09-09,204.8000,209.5700,204.5370,209.0700,1739658
2022-09-08,200.6800,203.0100,197.5600,202.8700,2474681
2022-09-07,201.4000,202.3650,196.8900,201.6200,3098789
2022-09-06,204.9900,206.9000,202.3300,204.1700,2349388
2022-09-02,214.2000,214.4100,207.2300,208.7200,1422956
2022-09-01,209.4500,212.0950,206.9700,211.8600,1582406
2022-08-31,214.4300,214.9899,210.4200,210.8100,1718167
2022-08-30,218.3400,218.9890,212.6116,213.4800,1420398
2022-08-29,216.2000,218.4400,214.7400,216.7300,1210987
2022-08-26,228.3800,229.4000,218.0200,218.1600,1548001
2022-08-25,226.8200,228.9749,225.0100,228.0300,1163926
2022-08-24,224.8800,227.4100,222.9000,226.0600,1104331
2022-08-23,223.3400,226.3420,222.9500,225.2600,1021231
2022-08-22,227.3800,227.9000,222.9000,223.5700,1867290
2022-08-19,234.1700,234.5400,230.2400,231.7300,1259308
2022-08-18,233.2400,235.4000,232.0000,234.8700,993926
2022-08-17,235.4200,236.8100,232.8400,233.4200,1190691
2022-08-16,233.1400,240.9000,232.6600,238.2200,2189538
2022-08-15,229.0400,234.1800,228.9500,233.2100,1575904
2022-08-12,230.0700,230.7400,227.8550,230.6800,1680693
2022-08-11,233.4900,234.0000,228.5000,229.2400,2041696
2022-08-10,229.8200,234.5500,229.0100,232.4500,2185850
2022-08-09,227.9200,227.9200,222.8600,224.9700,1934242
2022-08-08,236.0000,236.1550,228.5400,229.0200,1860623
2022-08-05,234.6600,238.8700,233.5000,234.8900,1507481
2022-08-04,233.7900,236.3100,233.3500,236.1000,1082933
2022-08-03,234.8500,236.0900,231.7300,233.1900,1039883
2022-08-02,235.8800,236.6350,231.5300,233.2700,1428681
2022-08-01,232.0600,239.7400,232.0000,237.7000,1906028
2022-07-29,229.1200,233.9800,225.8700,233.0900,2013773
2022-07-28,228.0100,230.3200,227.3000,229.8100,1396395
2022-07-27,225.6050,228.8400,221.6700,227.6300,1221820
2022-07-26,223.0000,226.6545,221.1100,224.8700,1559880
2022-07-25,229.4800,230.5800,226.8200,228.1700,975030
2022-07-22,228.8000,230.3100,225.3900,227.3000,1446020
2022-07-21,226.4500,228.3900,225.7100,227.6600,1006528
2022-07-20,225.9200,228.5500,224.2400,227.6600,1351545
2022-07-19,219.5800,226.1300,218.8300,225.4300,1378766
2022-07-18,219.1100,221.7500,217.1000,217.9800,1513653
2022-07-15,217.2700,218.7200,215.0100,217.8300,1260743
2022-07-14,211.8100,214.4600,210.4100,214.2900,1533678
2022-07-13,220.6600,220.9200,214.8800,216.1300,1992496
2022-07-12,223.3300,227.5200,221.8000,222.9800,2058699
2022-07-11,228.6500,231.2500,223.8400,224.1900,1718295
2022-07-08,232.2100,232.9300,228.0000,230.4900,1092812
2022-07-07,230.1900,231.8600,225.7400,231.3500,1626173
2022-07-06,227.9400,230.1700,225.0100,227.7200,1674169
2022-07-05,220.6000,230.9700,218.7201,229.6100,2863007
2022-07-01,222.5900,224.5869,217.7118,223.6100,2591730
2022-06-30,229.6350,230.9100,222.9800,226.7100,3676773
2022-06-29,241.0000,242.0000,226.7000,233.8100,3736849
2022-06-28,244.0000,248.1500,239.6200,240.0900,2588924
2022-06-27,246.9400,247.9300,240.2000,240.4700,2536767
2022-06-24,237.0200,248.7599,236.3400,243.2400,8395224
2022-06-23,229.5000,230.2450,224.3600,228.1300,4305076
