timestamp,open,high,low,close,volume
2022-07-13,2252.7800,2303.1399,2236.4600,2243.7400,1947943
2022-07-12,2336.7700,2356.9899,2292.3001,2296.9900,1248508
2022-07-11,2373.0000,2375.8900,2324.6900,2330.4500,1341523
2022-07-08,2351.0000,2408.7000,2350.2800,2403.3700,1454110
2022-07-07,2320.1600,2397.2399,2310.6800,2386.1200,1609197
2022-07-06,2281.8400,2327.0400,2245.0100,2304.2700,1442634
2022-07-05,2150.2900,2281.0516,2124.9901,2277.7400,1821469
2022-07-01,2166.7400,2196.1273,2142.1000,2181.6200,1551394
2022-06-30,2209.9900,2226.5960,2146.2000,2187.4500,1902302
2022-06-29,2242.9700,2273.2900,2231.0801,2245.1300,931393
2022-06-28,2327.0200,2357.1300,2248.8800,2251.4300,1415811
2022-06-27,2378.7000,2385.0000,2320.0150,2332.4500,1641965
2022-06-24,2272.0600,2372.7500,2272.0600,2370.7600,1956138
2022-06-23,2259.0000,2263.9300,2220.5800,2253.6900,1235486
2022-06-22,2223.2600,2275.3900,2214.4857,2240.6800,1196086
2022-06-21,2194.0400,2253.4600,2185.8700,2240.3000,1950514
2022-06-17,2130.7000,2184.9900,2112.5706,2157.3100,2175833
2022-06-16,2162.9900,2185.8100,2115.8501,2132.7200,1765662
2022-06-15,2177.9900,2241.2600,2162.3750,2207.8100,1659601
2022-06-14,2137.8000,2169.1500,2127.0400,2143.8800,1274047
2022-06-13,2148.9200,2184.3700,2131.7611,2137.5300,1837810
2022-06-10,2255.6250,2269.9400,2217.2200,2228.5500,1567487
2022-06-09,2326.8300,2367.0000,2297.3400,2298.3600,1157080
2022-06-08,2337.5300,2372.9200,2333.9350,2344.7600,1127213
2022-06-07,2312.9600,2354.9725,2302.5101,2344.5900,1320677
2022-06-06,2334.8500,2387.9696,2330.5658,2340.2100,1189336
2022-06-03,2319.8500,2327.2900,2273.3600,2291.2800,1247604
2022-06-02,2283.7600,2357.9600,2266.1600,2354.9200,1374770
2022-06-01,2298.6300,2347.9800,2271.0100,2282.7400,1431464
2022-05-31,2261.5800,2328.6700,2251.4500,2280.7800,2565096
2022-05-27,2195.7700,2257.3600,2191.0000,2255.9800,1496221
2022-05-26,2121.0100,2179.1050,2109.7600,2165.9200,1514374
2022-05-25,2102.8400,2130.8938,2084.2250,2116.7900,1894967
2022-05-24,2127.5500,2127.9000,2044.1600,2118.5200,3019319
2022-05-23,2202.0800,2240.1100,2183.0850,2233.3300,1577911
2022-05-20,2241.7100,2251.0000,2127.4600,2186.2600,1879301
2022-05-19,2236.8200,2271.7500,2209.3600,2214.9100,1459587
2022-05-18,2304.7500,2313.9134,2242.8400,2248.0200,1399138
2022-05-17,2344.5500,2344.5500,2306.7500,2334.0300,1078804
2022-05-16,2307.6800,2332.1500,2286.7000,2295.8500,1164119
2022-05-13,2296.9100,2361.7000,2280.0000,2330.3100,1486878
2022-05-12,2238.7600,2297.1300,2202.2700,2263.2200,2073244
2022-05-11,2274.2100,2333.4200,2273.0000,2279.2200,1825082
2022-05-10,2320.8100,2333.8200,2267.6657,2291.6900,1557889
2022-05-09,2266.0700,2311.2581,2251.0300,2261.6800,1726048
2022-05-06,2310.3800,2349.9700,2282.8600,2313.2000,1765474
2022-05-05,2404.4100,2424.6650,2303.6500,2334.9300,2154452
